source_id,book_id,title,class,locator
AKS-S054,method,Stereo research ledger discipline,local method evidence,local: stereo bundle / notebook/LEDGERS.md
AKS-S055,method,Plaza quality and validation guidance,local method evidence,local: Plaza-main.zip / docs/QUALITY_AND_VALIDATION.md
AKS-S056,web-annotation,Web Annotation Protocol,W3C Recommendation,https://www.w3.org/TR/annotation-protocol/
AKS-S057,prov,PROV implementation report,W3C implementation evidence,https://www.w3.org/TR/2013/NOTE-prov-implementations-20130430/
AKS-S058,premis,PREMIS preservation events guidance,implementation/community guidance,https://www.loc.gov/standards/premis/pif-presentations/rebecca-SKOS/preservationEvents.html
AKS-S059,ocfl,OCFL implementation notes,implementation guidance,https://ocfl.io/1.1/implementation-notes/
AKS-S060,bagit,BagIt path-encoding interoperability bug,implementation scar,https://github.com/LibraryOfCongress/bagit-python/issues/157
AKS-S061,warc,WARC implementation guidelines,implementation guidance,https://iipc.github.io/warc-specifications/guidelines/warc-implementation-guidelines/
AKS-S062,warc,Common Crawl WARC revisit Content-Type erratum,long-lived implementation scar,https://commoncrawl.org/errata/warc-content-type-header-in-revisit-records
AKS-S063,memento,Where Did the Web Archive Go?,longitudinal implementation study,https://arxiv.org/abs/2108.05939
AKS-S064,memento,Temporal drift in web archive browsing,longitudinal implementation study,https://arxiv.org/abs/1309.5503
AKS-S065,akoma-ntoso,Akoma Ntoso Naming Convention 1.0,OASIS Standard,https://docs.oasis-open.org/legaldocml/akn-nc/v1.0/akn-nc-v1.0.html
AKS-S066,akoma-ntoso,Akoma Ntoso 3.1 public-review announcement,standard evolution evidence,https://groups.oasis-open.org/discussion/akoma-ntoso-version-31-schemas-ready-for-public-review-1
AKS-S067,eli,ELI Pillar IV protocol specification,EU standard/profile,https://eur-lex.europa.eu/content/eli-register/ELI-Pillar-IV-protocol-specification-v1.2.pdf
AKS-S068,eli,ELI Pillar IV helper documentation,implementation guidance,https://eur-lex.europa.eu/content/eli-register/ELI-pillarIV-helper-documentation_en.pdf
AKS-S069,records-in-contexts,RiC-O 1.1 repository and release history,standard implementation/evolution evidence,https://github.com/ICA-EGAD/RiC-O
AKS-S070,records-in-contexts,RiC-O issue #67: rolifying n-ary relation classes,maintainer scar,https://github.com/ICA-EGAD/RiC-O/issues/67
AKS-S071,popolo,Popolo project principles/specification,civic schema practice,https://www.popoloproject.com/
AKS-S072,w3c-org,W3C ORG change diff,standard evolution evidence,https://www.w3.org/TR/vocab-org/diff-20131217.html
AKS-S073,wikidata,Wikidata merge guidance,operational knowledge-base guidance,https://www.wikidata.org/wiki/Help:Merge
AKS-S074,wikidata,Wikidata redirect guidance,operational knowledge-base guidance,https://www.wikidata.org/wiki/Help:Redirects
AKS-S075,wikidata,Wikidata qualifiers guidance,operational knowledge-base guidance,https://www.wikidata.org/wiki/Help:Qualifiers
AKS-S076,wikidata,Wikidata ranking guidance,operational knowledge-base guidance,https://www.wikidata.org/wiki/Help:Ranking
AKS-S077,followthemoney,FollowTheMoney schema extension principles,implementation documentation,https://followthemoney.tech/docs/custom/
AKS-S078,followthemoney,FollowTheMoney schema API reference,implementation documentation,https://followthemoney.tech/python/schema/
AKS-S079,frictionless-data-package,Data Package security guidance,security guidance,https://datapackage.org/standard/security/
AKS-S080,iiif,IIIF Image API 3.0,standard,https://iiif.io/api/image/3.0/
AKS-S081,iiif,IIIF Image API implementation notes,implementation guidance/scar,https://iiif.io/api/image/3.0/implementation/
AKS-S082,iiif,IIIF Image API compliance levels,conformance guidance,https://iiif.io/api/image/3.0/compliance/
AKS-S083,alto,ALTO implementers registry,implementation evidence,https://www.loc.gov/standards/alto/community/implementers.html
AKS-S084,alto,ALTO reading-order issue #18,implementation scar,https://github.com/altoxml/schema/issues/18
AKS-S085,datasette,Datasette authentication and permissions,product documentation/security scar,https://docs.datasette.io/en/latest/authentication.html
AKS-S086,datasette,Datasette plugin internals,product implementation guidance,https://docs.datasette.io/en/latest/internals.html
AKS-S087,datasette,Datasette settings and bounded facets,product operational guidance,https://docs.datasette.io/en/latest/settings.html
AKS-S088,datasette,Datasette 2026 write-SQL changes,product evolution evidence,https://docs.datasette.io/en/latest/changelog.html
AKS-S089,documentcloud,DocumentCloud API redaction semantics,product documentation,https://next.www.documentcloud.org/help/api/
AKS-S090,tropy,Tropy metadata templates,product workflow documentation,https://docs.tropy.org/in-the-template-editor/using-templates
AKS-S091,zotero,Zotero direct SQLite database access guidance,product operational scar,https://www.zotero.org/support/dev/client_coding/direct_sqlite_database_access
AKS-S092,sqlite,SQLite WAL documentation,database operational documentation,https://www.sqlite.org/wal.html
AKS-S093,sqlite,SQLite foreign key documentation,database operational documentation,https://www.sqlite.org/foreignkeys.html
AKS-S094,sqlite,SQLite Online Backup API,database operational documentation,https://www.sqlite.org/backup.html
AKS-S095,sqlite,SQLite release/change history,database release/bug evidence,https://www.sqlite.org/changes.html
AKS-S096,skos,SKOS Primer,W3C Working Group Note,https://www.w3.org/TR/skos-primer
AKS-S097,shacl,SHACL 1.2 Core draft and test suite,W3C standards evolution/conformance evidence,https://www.w3.org/TR/shacl12-core/
AKS-S098,sqlite,SQLite secure_delete pragma,database deletion/forensic behavior documentation,https://www.sqlite.org/pragma.html#pragma_secure_delete
AKS-S099,sqlite,SQLite FTS5 secure-delete and projection modes,full-text index operational documentation,https://www.sqlite.org/fts5.html
